Location name,Lat (GDA94),Long (GDA94),Survey date,Depth (m),Chlorophyll a (ug/L),Secchi depth (metres),Total N (mg/L),Ammonia (mg/L),Organic N (mg/L),NOx (mg/L),DO (mg/L),DO saturation (%),pH (Unit),Pheopigments (ug/L),FRP (mg/L),Total P (mg/L),Salinity (g/L),Conductivity (mS/cm),Temp (deg C),Turbidity (NTU)
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-03-07,0.2,1.6,0.5,0.73,0.074,0.446,0.21,6.2,74.2,6.96,1,0.073,0.14,0.468,0.924,24.53,28.2
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-03-07,0.2,4.7,0.2,0.91,0.13,0.58,0.2,7.6,91.1,7.93,2.5,0.053,0.17,1.86,3.53,23.9,56.8
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-03-07,0.2,4.8,0.3,0.67,0.048,0.452,0.17,7.8,94.3,7.95,4.3,0.047,0.099,3.57,6.54,24.01,25.8
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-03-07,0.2,8.5,0.5,0.59,0.006,0.444,0.14,8.5,107.7,8.12,2,0.058,0.093,10.9,18.4,24.35,4.4
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-04-04,0.2,1.5,0.9,0.31,0.039,0.263,0.008,6.2,86.2,7.9,0.6,0.025,0.044,26.3,41.1,24.76,7.2
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-04-04,0.2,0.1,1.25,0.2,0.003,0.195,< 0.002,6.5,92.7,8.06,1.8,0.022,0.034,28.0,43.5,24.92,5.6
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-04-04,0.2,1.5,1,0.22,< 0.002,0.216,< 0.002,6.7,96.1,8.14,0.4,0.02,0.038,29.3,45.3,25.21,7.9
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-04-05,0.2,2.9,0.7,0.24,0.007,0.23,0.003,6.2,85.7,7.96,< 0.1,0.026,0.042,26.8,41.8,23.74,11.7
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-04-05,0.2,1.9,1.3,0.26,0.015,0.238,0.007,6.0,81.5,7.81,1,0.027,0.04,22.7,36.0,24.13,5.5
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-04-05,0.2,3.7,0.9,0.31,0.023,0.274,0.013,5.9,77.8,7.6,2.1,0.025,0.039,17.6,28.6,24.66,7.4
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-04-05,0.2,3.5,1,0.39,0.016,0.356,0.018,6.2,80.3,7.46,5.9,0.029,0.053,13.1,21.8,24.88,5.2
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-04-05,0.2,3.9,1.4,0.37,0.019,0.324,0.027,5.5,70.2,7.24,4,0.027,0.043,9.39,16.1,25.16,2.7
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-05-06,0.2,0.9,1.2,0.21,0.012,0.191,0.007,6.7,90.2,7.97,1.6,0.025,0.036,30.3,46.6,21.62,5.8
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-05-06,0.2,2.4,1.1,0.26,0.019,0.223,0.018,6.2,84.0,7.81,1.6,0.028,0.037,27.8,43.2,22.16,5.7
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-05-06,0.2,3.1,1.1,0.37,0.022,0.327,0.021,5.9,79.3,7.67,1.1,0.03,0.045,25.5,39.9,22.49,7.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-05-06,0.2,7.6,1.2,0.35,0.009,0.33,0.011,6.3,82.4,7.48,1.2,0.042,0.061,20.0,32.1,22.73,4.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-05-06,0.2,4.2,1.5,0.38,0.031,0.319,0.03,5.4,68.9,7.27,2.3,0.048,0.063,16.4,26.8,22.99,2.2
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-05-06,0.2,1.2,1,0.41,0.1,0.262,0.048,6.7,90.1,7.8,2.6,0.025,0.041,29.3,45.2,21.7,6.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-05-06,0.2,1.3,1.1,0.22,0.005,0.211,0.004,6.8,92.4,7.91,1.5,0.023,0.039,30.2,46.5,21.79,5.3
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-05-06,0.2,0.5,1.5,0.19,0.005,0.183,< 0.002,7.0,96.5,7.98,2.1,0.023,0.034,31.1,47.7,22.44,2.9
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-06-03,0.2,1.6,1.8,0.3,0.01,0.277,0.013,7.4,93.8,8.01,0.6,0.026,0.034,30.5,46.8,17.88,2.6
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-06-03,0.2,4.5,1.5,0.29,0.009,0.253,0.028,7.0,88.6,7.83,0.7,0.027,0.037,27.5,42.8,18.66,3.5
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-06-03,0.2,3.9,1.5,0.35,0.017,0.287,0.046,6.7,83.4,7.64,0.8,0.033,0.044,24.6,38.6,18.86,3.6
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-06-03,0.2,2.6,1.4,0.39,0.028,0.305,0.057,6.4,77.1,7.41,0.9,0.11,0.13,20.5,32.9,18.45,3.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-06-03,0.2,2.3,2.5,0.37,0.036,0.273,0.061,5.3,64.2,7.24,0.5,0.05,0.059,18.4,29.7,19.3,2.2
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-06-03,0.2,1,2,0.23,0.068,0.141,0.021,7.6,94.8,8.12,0.7,0.024,0.024,30.6,47.1,17.13,1.5
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-06-03,0.2,1.3,1.7,0.2,0.003,0.195,0.002,7.7,98.3,8.17,0.2,0.024,0.029,31.8,48.6,18.01,2.1
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-06-03,0.2,1.7,1.5,0.17,< 0.002,0.166,< 0.002,7.9,100.9,8.21,0.5,0.025,0.03,32.3,49.4,18.11,2.8
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-07-03,0.2,< 0.1,3.3,0.24,0.026,0.209,0.005,7.5,90.7,7.97,0.6,0.011,0.04,29.1,45.0,16.12,1.8
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-07-03,0.2,0.8,1.7,0.27,0.032,0.207,0.031,7.4,89.1,7.93,0.2,0.012,0.043,27.2,42.3,16.56,2.9
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-07-03,0.2,0.7,1.75,0.36,0.039,0.255,0.066,7.2,84.0,7.71,0.2,0.035,0.053,22.0,35.0,16.44,2.7
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-07-03,0.2,1.7,1.9,0.41,0.044,0.292,0.074,6.8,78.4,7.48,3.1,0.069,0.097,18.1,29.3,16.59,3.6
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-07-03,0.2,0.7,2.5,0.41,0.042,0.284,0.084,6.3,72.2,7.35,0.4,0.037,0.052,15.8,25.8,17.35,2.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-07-03,0.2,0.5,3.85,0.17,< 0.004,0.164,< 0.002,7.7,95.2,8.2,< 0.1,0.011,0.036,32.2,49.2,16.29,0.7
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-07-03,0.2,0.9,3.1,0.18,< 0.004,0.174,0.002,7.6,95.3,8.22,0.2,0.01,0.037,32.6,49.7,16.54,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-08-01,0.2,0.5,3.5,0.2,< 0.004,0.192,0.004,7.2,90.1,7.82,0.7,0.012,0.018,29.9,46.1,17.48,0.2
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-08-01,0.2,1,2,0.26,0.008,0.245,0.007,7.0,87.5,7.7,0.6,0.014,0.038,27.5,42.7,18.01,0.3
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-08-01,0.2,1.2,1.7,0.39,0.03,0.315,0.045,6.5,77.3,7.39,1.6,0.072,0.073,21.5,34.2,17.86,0.4
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-08-01,0.2,0.7,2.1,0.16,0.038,0.118,0.004,7.4,92.3,7.93,0.2,0.013,0.017,30.0,46.3,17.42,2.9
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-08-01,0.2,0.4,2.5,0.16,< 0.004,0.153,0.003,7.6,95.9,7.99,0.3,0.013,0.017,30.9,47.5,17.77,3.1
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-08-01,0.2,< 0.1,2.2,0.14,< 0.004,0.133,0.003,7.6,96.6,8.05,0.9,0.013,0.017,31.8,48.7,17.77,4.2
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-09-02,0.2,1.2,1.1,0.21,0.01,0.197,0.003,6.8,92.4,7.99,0.7,0.013,0.016,33.4,50.9,20.5,5.1
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-09-02,0.2,1.4,1.6,0.25,0.009,0.237,0.004,6.5,89.0,7.88,0.5,0.013,0.045,31.6,48.5,21.62,3.6
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-09-02,0.2,1,1.5,0.28,0.011,0.265,0.004,6.3,85.2,7.7,1.5,0.015,0.051,29.3,45.3,21.72,4.2
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-09-02,0.2,1.9,1.5,0.29,0.009,0.277,0.004,6.4,85.2,7.59,1.4,0.046,0.062,27.4,42.7,21.73,3.4
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-09-02,0.2,2,2.8,0.31,0.014,0.292,0.004,5.8,76.6,7.4,0.6,0.075,0.084,24.7,38.8,22.06,1.2
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-09-02,0.2,1.3,1.25,0.21,0.009,0.197,0.004,7.1,96.1,8.05,0.5,0.012,0.019,33.4,50.9,20.56,4.7
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-09-02,0.2,0.6,1.15,0.2,0.01,0.186,0.004,7.1,96.9,8.07,0.1,0.013,0.019,33.6,51.2,20.78,5.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-09-02,0.2,1,1,0.19,0.009,0.177,0.004,7.2,96.5,8.11,0.8,0.016,0.023,33.7,51.2,20.32,6.6
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-10-01,0.2,0.9,1.4,0.2,< 0.004,0.192,0.004,6.5,92.6,7.82,0.3,0.014,0.04,34.3,52.2,23.4,4.2
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-10-01,0.2,1.8,1.3,0.26,0.012,0.242,0.006,6.0,84.6,7.69,0.6,0.04,0.055,32.0,49.0,23.69,4.6
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-10-01,0.2,0.7,1.1,0.26,0.018,0.236,0.006,5.8,83.0,7.66,4.6,0.042,0.054,32.1,49.1,23.94,6.5
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-10-01,0.2,3.8,1.4,0.35,0.027,0.294,0.029,5.1,72.3,7.39,< 0.1,0.077,0.082,27.6,42.9,24.58,3.7
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-10-01,0.2,3.1,2.4,0.36,0.037,0.291,0.032,4.4,61.0,7.22,1.4,0.077,0.083,23.5,37.1,25.19,1.5
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-10-01,0.2,1.9,1.1,0.24,< 0.004,0.231,0.005,7.3,107.0,8.13,1.7,0.014,0.047,34.8,52.8,24.56,5.8
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-10-01,0.2,1.6,0.85,0.2,< 0.004,0.192,0.004,7.3,106.3,8.15,1.6,0.016,0.047,34.9,52.9,24.17,9.1
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-10-01,0.2,2.3,0.65,0.18,< 0.004,0.172,0.004,6.9,100.1,8.17,1.8,0.021,0.056,34.7,52.6,23.66,13.5
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-11-01,0.2,2.4,0.85,0.37,0.007,0.358,0.005,6.6,96.1,7.91,2.2,0.009,0.067,35.9,54.2,23.61,7.7
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-11-01,0.2,1.4,0.9,0.32,0.006,0.309,0.005,6.6,95.2,7.91,1.9,0.006,0.065,35.7,54.0,23.69,8.7
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-11-01,0.2,2.4,0.95,0.39,0.006,0.379,0.005,6.3,91.0,7.83,0.7,0.005,0.079,35.1,53.1,23.84,15.8
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-11-01,0.2,3.8,1.4,0.42,0.005,0.409,0.006,6.6,96.9,7.64,5.4,0.01,0.081,31.4,48.2,25.76,3.4
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-11-01,0.2,2.5,2.7,0.49,0.009,0.478,0.003,5.6,82.1,7.45,8.8,0.099,0.11,28.5,44.2,26.25,0.3
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-11-01,0.2,0.7,0.9,0.32,0.008,0.31,< 0.002,7.0,102.5,8.08,5.3,0.042,0.072,35.3,53.4,24.45,9.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-11-01,0.2,2,0.8,0.3,0.013,0.285,< 0.002,6.9,100.6,7.98,3.9,0.044,0.066,35.3,53.5,24.45,7.3
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-11-01,0.2,4,0.8,0.24,0.01,0.228,< 0.002,7.0,102.1,7.96,0.7,0.048,0.067,35.1,53.2,24.15,9.6
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2013-12-02,0.2,2.8,0.8,0.19,< 0.004,0.183,0.003,7.0,99.8,7.97,3.4,0.016,0.065,34.4,52.2,23.18,10.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2013-12-02,0.2,3.6,0.7,0.23,< 0.004,0.224,0.002,7.0,98.3,7.96,1.8,0.017,0.067,33.7,51.3,22.79,10.8
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2013-12-02,0.2,4.3,0.5,0.25,< 0.004,0.244,< 0.002,6.8,95.0,7.86,5.6,0.018,0.075,31.6,48.4,22.95,16.8
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2013-12-02,0.2,3.1,0.9,0.31,< 0.004,0.302,0.004,6.0,84.1,7.5,3.8,0.059,0.088,25.0,39.3,24.98,7.6
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2013-12-02,0.2,3,1.1,0.35,0.051,0.242,0.057,4.8,67.1,7.25,1.5,0.11,0.13,21.9,34.9,25.78,6.8
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2013-12-02,0.2,2.7,0.75,0.22,< 0.004,0.213,0.003,6.9,97.8,7.97,2.4,0.016,0.063,34.1,51.9,22.6,13.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2013-12-02,0.2,5,0.95,0.18,< 0.004,0.173,0.003,7.2,105.5,8.05,0.8,0.017,0.06,35.3,53.4,24.48,8.8
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2013-12-02,0.2,2.4,1.1,0.21,< 0.004,0.181,0.025,7.3,106.9,8.09,0.7,0.016,0.053,35.3,53.5,24.03,4.8
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2014-01-09,0.2,2.5,0.55,0.29,< 0.004,0.282,0.004,6.2,91.7,7.95,4.5,0.007,< 0.01,35.5,53.7,24.65,15.3
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2014-01-09,0.2,3.8,0.8,0.28,< 0.004,0.272,0.004,6.1,90.1,7.91,< 0.1,0.009,< 0.01,35.7,54.0,24.79,9.2
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2014-01-09,0.2,2.1,1.1,0.38,< 0.004,0.371,0.005,5.7,85.9,7.67,2.1,0.002,< 0.01,34.3,52.1,26.19,4.6
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2014-01-09,0.2,7.6,0.9,0.51,< 0.004,0.501,0.005,5.4,81.2,7.57,2.3,0.006,< 0.01,31.3,48.0,26.95,5.2
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2014-01-09,0.2,6.1,0.9,0.57,< 0.004,0.563,0.003,5.5,81.2,7.48,2.7,0.006,< 0.01,28.0,43.5,27.65,4.9
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2014-01-09,0.2,3.2,0.3,0.41,< 0.004,0.402,0.004,6.5,96.5,8.27,2.7,0.019,0.089,35.4,53.6,24.73,31.9
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2014-01-09,0.2,4.6,0.4,0.31,< 0.004,0.301,0.005,6.5,97.2,8.27,4.2,0.021,0.09,35.4,53.6,25.38,31.9
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2014-01-09,0.2,1.7,0.5,0.2,< 0.004,0.191,0.005,6.6,99.8,8.27,1.7,0.011,0.049,36.6,55.1,25.78,22.9
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2014-02-07,0.2,2.6,0.8,0.18,< 0.004,0.173,0.003,6.6,95.8,8.14,0.9,0.019,0.049,36.1,54.5,23.51,7.7
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2014-02-07,0.2,3,0.8,0.17,< 0.004,0.163,0.003,6.6,97.3,8.16,0.6,0.018,0.048,36.3,54.8,24.32,6.9
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2014-02-07,0.2,1.9,1.1,0.15,< 0.004,0.143,0.003,6.7,98.6,8.17,0.4,0.014,0.019,36.5,55.0,24.55,3.3
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2014-02-10,0.2,1.5,1,0.17,< 0.004,0.163,0.003,6.5,97.4,8.1,0.6,0.018,0.05,35.9,54.3,25.99,4.6
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2014-02-10,0.2,3.8,0.9,0.18,< 0.004,0.173,0.003,6.2,93.8,8.05,< 0.1,0.017,0.051,35.1,53.2,26.1,5.5
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2014-02-10,0.2,4.3,0.9,0.22,< 0.004,0.213,0.003,5.8,86.9,7.92,0.8,0.024,0.061,33.7,51.3,26.33,10.3
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2014-02-10,0.2,3.1,0.8,0.29,< 0.004,0.283,0.003,5.7,83.8,7.7,2.8,0.1,0.12,29.3,45.2,26.71,5.7
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2014-02-10,0.2,4.5,0.9,0.32,0.011,0.305,0.004,4.4,64.6,7.49,8.7,0.11,0.12,27.3,42.5,26.74,5.1
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2014-03-07,0.2,2.5,1.1,0.16,< 0.004,0.151,0.005,6.7,102.4,8.12,< 0.1,0.021,0.054,36.9,55.6,26.22,6.2
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2014-03-07,0.2,2.6,1.2,0.19,< 0.004,0.183,0.003,6.7,101.9,8.06,0.7,0.02,0.057,36.6,55.2,25.84,5.5
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2014-03-07,0.2,3,1,0.22,< 0.004,0.211,0.005,6.6,98.9,7.93,0.9,0.022,0.064,35.7,53.9,25.91,7.3
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2014-03-07,0.2,5.5,0.9,0.3,0.012,0.283,0.005,6.6,99.0,7.77,1.5,0.064,0.088,33.6,51.2,26.3,6.6
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2014-03-07,0.2,7.4,0.95,0.35,< 0.004,0.343,0.003,7.8,115.6,7.73,7.2,0.12,0.15,29.9,46.1,27.25,6.3
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2014-03-07,0.2,2.6,0.8,0.22,< 0.004,0.212,0.004,7.2,108.6,8.15,0.8,0.019,0.064,36.8,55.4,25.89,8.8
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2014-03-07,0.2,0.9,0.9,0.15,< 0.004,0.142,0.004,6.8,101.9,8.17,1.7,0.016,0.05,36.8,55.4,25.61,8.5
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2014-03-07,0.2,1.1,0.9,0.12,< 0.004,0.113,0.003,6.7,99.2,8.18,1,0.012,0.019,36.8,55.4,24.88,7.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2014-04-01,0.2,2.1,1,0.24,< 0.004,0.233,0.003,8.2,120.6,8.26,4.6,0.01,0.051,33.1,50.4,25.66,6.8
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2014-04-01,0.2,8.9,1,0.32,< 0.004,0.312,0.004,8.5,123.7,8.26,0.7,0.009,0.061,31.2,47.9,25.51,8.2
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2014-04-01,0.2,8.1,0.8,0.48,0.007,0.4,0.073,7.7,109.3,8.12,9.1,0.014,0.077,26.6,41.5,25.25,9.9
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2014-04-01,0.2,3.9,0.85,0.81,0.18,0.33,0.3,5.9,79.7,7.57,2,0.076,0.11,16.4,26.8,25.96,8.8
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2014-04-01,0.2,0.2,1,0.86,0.24,0.31,0.31,4.7,62.7,7.31,5.8,0.13,0.15,13.1,21.9,25.69,8.2
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2014-04-01,0.2,5.6,1.1,0.31,< 0.004,0.304,0.002,9.2,136.4,8.35,2.6,0.009,0.06,30.8,47.4,26.77,7.9
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2014-04-01,0.2,3.8,1.2,0.24,< 0.004,0.234,0.002,7.9,118.9,8.33,1.7,0.01,0.051,33.2,50.6,26.38,7.1
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2014-04-01,0.2,5.3,1.7,0.23,< 0.004,0.223,0.003,9.2,138.1,8.36,1.7,0.014,0.054,33.7,51.2,26.26,3.3
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2014-05-09,0.2,0.8,1.6,0.19,< 0.004,0.181,0.005,7.2,96.0,8.11,0.5,0.017,0.042,35.4,53.6,18.75,3.0
